
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-6-1,22,19,17,13,12,12,78,68,57,1017,1016,1015,16,16,16,21,11,32,0.00,4,,308<br />
2015-6-2,22,19,17,13,13,12,78,70,61,1017,1016,1014,16,16,16,21,6,27,0.00,4,,288<br />
2015-6-3,20,18,17,12,12,11,72,65,58,1015,1014,1012,16,16,16,21,11,26,0.00,6,,229<br />
2015-6-4,19,18,17,13,11,10,78,68,58,1014,1012,1012,16,16,16,24,12,29,0.00,7,,216<br />
2015-6-5,21,18,16,11,10,9,64,57,49,1013,1012,1011,16,16,16,23,13,29,0.00,5,,220<br />
2015-6-6,22,19,17,14,11,9,67,58,49,1014,1013,1012,16,16,16,24,11,32,0.00,3,,280<br />
2015-6-7,22,20,17,14,13,12,78,70,61,1013,1012,1011,16,16,16,27,11,37,0.00,3,,329<br />
2015-6-8,23,21,18,16,15,14,78,70,61,1012,1011,1010,16,15,10,26,12,29,0.00,5,,319<br />
2015-6-9,28,24,19,17,16,14,81,68,54,1013,1011,1009,16,16,14,23,12,29,0.00,6,,221<br />
2015-6-10,21,20,18,17,16,14,93,81,68,1015,1013,1012,16,15,5,24,12,26,0.00,8,Rain,232<br />
2015-6-11,21,19,18,16,15,14,87,77,66,1013,1012,1011,16,16,14,19,8,23,T,7,,272<br />
2015-6-12,20,19,18,16,15,14,84,76,68,1012,1011,1010,16,15,5,16,6,24,T,8,,247<br />
2015-6-13,21,19,17,14,14,13,84,75,66,1011,1010,1009,16,16,16,19,10,23,T,7,,205<br />
2015-6-14,21,19,18,15,14,14,78,74,70,1011,1010,1009,16,16,16,16,8,23,0.00,8,,275<br />
2015-6-15,23,21,18,16,16,15,84,76,68,1012,1011,1009,16,15,11,19,9,24,0.00,7,,300<br />
2015-6-16,21,19,18,16,14,13,87,77,66,1014,1013,1011,16,14,6,16,10,23,0.00,7,,249<br />
2015-6-17,23,20,17,15,14,14,84,73,61,1014,1013,1012,16,13,6,16,8,24,0.00,4,,264<br />
2015-6-18,24,21,17,16,15,14,90,76,61,1015,1013,1012,16,14,6,19,9,26,0.00,5,,324<br />
2015-6-19,25,21,17,17,16,14,93,75,57,1013,1011,1010,16,10,1,19,6,26,0.00,5,Fog,310<br />
2015-6-20,22,20,18,16,15,14,84,73,61,1012,1011,1010,16,15,11,19,10,24,0.00,7,,187<br />
2015-6-21,24,21,18,16,15,14,81,71,61,1015,1014,1012,16,16,14,21,11,26,0.00,5,,208<br />
2015-6-22,25,22,18,17,16,15,87,73,58,1015,1014,1013,16,15,8,16,8,23,0.00,5,,280<br />
2015-6-23,27,23,18,18,16,14,81,66,50,1015,1013,1012,16,16,13,19,7,19,0.00,3,,258<br />
2015-6-24,23,22,19,19,16,14,93,77,61,1014,1013,1012,16,16,11,19,9,24,0.00,4,,244<br />
2015-6-25,24,22,19,16,15,14,76,65,54,1015,1014,1013,16,16,16,19,10,27,0.00,5,,311<br />
2015-6-26,25,22,19,17,16,16,81,71,60,1016,1014,1013,16,16,16,24,11,32,0.00,6,,320<br />
2015-6-27,24,22,19,17,17,16,81,73,64,1017,1015,1013,16,16,16,32,12,40,T,6,Rain,334<br />
2015-6-28,26,23,21,18,17,16,78,69,60,1014,1013,1011,16,16,16,24,13,32,0.00,6,,310<br />
2015-6-29,26,23,21,18,17,16,84,72,60,1014,1013,1012,16,16,16,16,8,21,0.00,6,,295<br />
2015-6-30,26,23,19,21,18,17,87,74,60,1014,1012,1009,16,16,11,42,5,50,1.02,5,Rain-Thunderstorm,272<br />
2015-7-1,27,24,21,19,18,18,84,71,58,1015,1013,1012,16,15,11,14,8,,0.00,6,Rain,212<br />
2015-7-2,26,23,19,19,18,17,84,74,64,1017,1015,1013,16,12,3,21,8,27,0.00,5,,287<br />
2015-7-3,24,22,20,17,16,16,78,69,60,1015,1014,1011,16,16,11,27,11,34,0.00,6,,305<br />
2015-7-4,23,22,20,16,15,14,76,69,61,1015,1013,1012,16,16,16,23,10,32,0.00,7,,298<br />
2015-7-5,22,21,19,16,14,14,73,70,66,1017,1015,1014,16,16,16,21,11,27,0.00,7,,294<br />
2015-7-6,22,21,19,16,15,14,81,76,70,1018,1017,1015,16,16,14,21,10,24,0.00,8,,300<br />
2015-7-7,22,20,18,16,15,14,84,73,61,1017,1015,1012,16,16,10,21,8,26,T,7,,262<br />
2015-7-8,22,21,19,16,14,13,73,65,57,1013,1013,1011,16,16,14,21,10,26,0.00,7,,197<br />
2015-7-9,23,21,19,16,14,13,81,67,53,1014,1013,1011,16,16,16,21,12,29,0.00,5,,276<br />
2015-7-10,24,22,19,15,14,12,78,64,50,1015,1014,1013,16,16,16,23,9,29,0.00,4,,311<br />
2015-7-11,24,21,18,15,14,13,73,65,57,1017,1015,1013,16,16,16,24,8,29,0.00,5,,304<br />
2015-7-12,24,22,19,17,16,15,78,69,60,1017,1016,1015,16,16,8,23,8,27,0.00,5,,312<br />
2015-7-13,26,22,19,17,16,14,87,68,48,1016,1014,1012,16,16,16,19,7,26,0.00,3,,299<br />
2015-7-14,23,21,19,16,14,14,78,70,61,1014,1013,1012,16,16,16,21,10,32,0.00,6,,229<br />
2015-7-15,24,22,19,14,14,14,73,67,61,1015,1014,1012,16,16,16,19,11,26,0.00,5,,202<br />
2015-7-16,24,22,19,16,14,14,73,64,54,1015,1014,1012,16,16,16,23,8,32,0.00,4,,288<br />
2015-7-17,25,22,19,17,16,16,81,71,60,1013,1011,1010,16,16,16,23,11,29,0.00,5,,317<br />
2015-7-18,26,22,18,20,17,14,93,79,64,1016,1014,1012,16,12,2,26,8,34,26.16,6,Rain-Thunderstorm,6<br />
2015-7-19,31,27,23,22,20,12,87,63,39,1018,1016,1014,16,14,2,26,4,35,11.68,6,Rain,145<br />
2015-7-20,25,23,21,22,19,19,90,82,74,1018,1016,1014,16,15,5,19,9,23,0.00,6,Rain,187<br />
2015-7-21,27,24,21,19,19,18,90,76,62,1015,1013,1011,16,12,2,21,8,26,0.25,7,Rain,292<br />
2015-7-22,27,24,22,18,18,17,73,66,58,1014,1012,1011,16,16,16,19,9,29,0.00,6,,294<br />
2015-7-23,26,24,22,18,18,17,79,69,58,1017,1015,1013,16,16,16,23,12,27,0.00,5,,299<br />
2015-7-24,27,24,22,18,18,17,79,71,62,1019,1017,1016,16,16,16,23,10,29,0.00,4,,317<br />
2015-7-25,28,24,21,19,18,16,84,69,54,1017,1016,1013,16,15,6,23,9,27,0.00,3,,321<br />
2015-7-26,26,23,21,19,17,16,90,74,58,1015,1014,1013,16,16,16,23,7,27,0.00,4,,308<br />
2015-7-27,24,22,20,16,14,14,76,67,57,1015,1013,1012,16,16,16,21,9,26,0.00,3,,236<br />
2015-7-28,25,22,19,17,16,16,81,71,60,1014,1013,1011,16,16,16,21,8,27,0.00,4,,286<br />
2015-7-29,26,23,21,17,17,16,78,69,60,1015,1014,1013,16,16,16,19,7,27,0.00,6,,276<br />
2015-7-30,27,24,22,18,18,17,79,71,62,1017,1016,1015,16,16,16,19,9,27,0.00,6,,288<br />
2015-7-31,26,24,22,18,18,17,79,71,62,1017,1016,1014,16,16,16,24,10,27,0.00,7,,295<br />
2015-8-1,25,23,21,17,17,16,78,69,60,1016,1014,1013,16,16,16,23,9,29,0.00,7,,292<br />
2015-8-2,26,23,21,18,17,17,79,70,60,1014,1012,1011,16,16,14,21,9,32,0.00,6,,302<br />
2015-8-3,26,23,21,18,17,16,78,68,58,1013,1012,1011,16,16,16,21,8,26,0.00,5,,300<br />
2015-8-4,28,24,21,18,18,16,84,69,54,1014,1013,1012,16,16,14,27,9,34,0.00,2,,321<br />
2015-8-5,29,25,21,19,18,17,84,68,51,1015,1013,1012,16,16,16,24,10,29,0.00,2,,308<br />
2015-8-6,27,24,21,19,18,17,90,76,62,1013,1012,1011,16,16,16,21,8,27,0.00,6,,303<br />
2015-8-7,26,23,21,17,16,15,78,68,58,1014,1013,1012,16,16,16,23,10,29,0.00,6,,261<br />
